@relation Absenteeism_at_work_A

@attribute ID {31.0, 27.0, 19.0, 30.0, 7.0, 20.0, 24.0, 32.0, 3.0, 33.0, 26.0, 29.0, 18.0, 25.0, 17.0, 14.0, 16.0, 23.0, 2.0, 21.0, 36.0, 15.0, 22.0, 5.0, 12.0, 9.0, 6.0, 34.0, 10.0, 28.0, 13.0, 11.0, 1.0, 4.0, 8.0, 35.0}
@attribute Reason_for_absence {17.0, 3.0, 15.0, 4.0, 21.0, 2.0, 9.0, 24.0, 18.0, 1.0, 12.0, 5.0, 16.0, 7.0, 27.0, 25.0, 8.0, 10.0, 26.0, 19.0, 28.0, 6.0, 23.0, 22.0, 13.0, 14.0, 11.0, 0.0}
@attribute Month_of_absence REAL
@attribute Day_of_the_week {5.0, 2.0, 3.0, 4.0, 6.0}
@attribute Seasons {4.0, 1.0, 2.0, 3.0}
@attribute Transportation_expense REAL
@attribute Distance_from_Residence_to_Work REAL
@attribute Service_time INTEGER
@attribute Age INTEGER
@attribute Work_load_Average/day_ REAL
@attribute Hit_target REAL
@attribute Disciplinary_failure {1.0, 0.0}
@attribute Education REAL
@attribute Son REAL
@attribute Social_drinker {1.0, 0.0}
@attribute Social_smoker {1.0, 0.0}
@attribute Pet REAL
@attribute Weight REAL
@attribute Height REAL
@attribute Body_mass_index REAL
@attribute Absenteeism_time_in_hours REAL

@data
11.0, 26.0, 7.0, 3.0, 1.0, 289.0, 36.0, 13.0, 33.0, 239554.0, 97.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 4.0
36.0, 0.0, 7.0, 3.0, 1.0, 118.0, 13.0, 18.0, 50.0, 239554.0, 97.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 98.0, 178.0, 31.0, 0.0
3.0, 23.0, 7.0, 4.0, 1.0, 179.0, 51.0, 18.0, 38.0, 239554.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 2.0
7.0, 7.0, 7.0, 5.0, 1.0, 279.0, 5.0, 14.0, 39.0, 239554.0, 97.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 68.0, 168.0, 24.0, 4.0
11.0, 23.0, 7.0, 5.0, 1.0, 289.0, 36.0, 13.0, 33.0, 239554.0, 97.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 2.0
3.0, 23.0, 7.0, 6.0, 1.0, 179.0, 51.0, 18.0, 38.0, 239554.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 2.0
10.0, 22.0, 7.0, 6.0, 1.0, 361.0, 52.0, 3.0, 28.0, 239554.0, 97.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 80.0, 172.0, 27.0, 8.0
20.0, 23.0, 7.0, 6.0, 1.0, 260.0, 50.0, 11.0, 36.0, 239554.0, 97.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 4.0
14.0, 19.0, 7.0, 2.0, 1.0, 155.0, 12.0, 14.0, 34.0, 239554.0, 97.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 95.0, 196.0, 25.0, 40.0
1.0, 22.0, 7.0, 2.0, 1.0, 235.0, 11.0, 14.0, 37.0, 239554.0, 97.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 88.0, 172.0, 29.0, 8.0
20.0, 1.0, 7.0, 2.0, 1.0, 260.0, 50.0, 11.0, 36.0, 239554.0, 97.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 8.0
20.0, 1.0, 7.0, 3.0, 1.0, 260.0, 50.0, 11.0, 36.0, 239554.0, 97.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 8.0
20.0, 11.0, 7.0, 4.0, 1.0, 260.0, 50.0, 11.0, 36.0, 239554.0, 97.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 8.0
3.0, 11.0, 7.0, 4.0, 1.0, 179.0, 51.0, 18.0, 38.0, 239554.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 1.0
3.0, 23.0, 7.0, 4.0, 1.0, 179.0, 51.0, 18.0, 38.0, 239554.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 4.0
24.0, 14.0, 7.0, 6.0, 1.0, 246.0, 25.0, 16.0, 41.0, 239554.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 67.0, 170.0, 23.0, 8.0
3.0, 23.0, 7.0, 6.0, 1.0, 179.0, 51.0, 18.0, 38.0, 239554.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 2.0
3.0, 21.0, 7.0, 2.0, 1.0, 179.0, 51.0, 18.0, 38.0, 239554.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 8.0
6.0, 11.0, 7.0, 5.0, 1.0, 189.0, 29.0, 13.0, 33.0, 239554.0, 97.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 69.0, 167.0, 25.0, 8.0
33.0, 23.0, 8.0, 4.0, 1.0, 248.0, 25.0, 14.0, 47.0, 205917.0, 92.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 86.0, 165.0, 32.0, 2.0
18.0, 10.0, 8.0, 4.0, 1.0, 330.0, 16.0, 4.0, 28.0, 205917.0, 92.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 84.0, 182.0, 25.0, 8.0
3.0, 11.0, 8.0, 2.0, 1.0, 179.0, 51.0, 18.0, 38.0, 205917.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 1.0
10.0, 13.0, 8.0, 2.0, 1.0, 361.0, 52.0, 3.0, 28.0, 205917.0, 92.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 80.0, 172.0, 27.0, 40.0
20.0, 28.0, 8.0, 6.0, 1.0, 260.0, 50.0, 11.0, 36.0, 205917.0, 92.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 4.0
11.0, 18.0, 8.0, 2.0, 1.0, 289.0, 36.0, 13.0, 33.0, 205917.0, 92.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 8.0
10.0, 25.0, 8.0, 2.0, 1.0, 361.0, 52.0, 3.0, 28.0, 205917.0, 92.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 80.0, 172.0, 27.0, 7.0
11.0, 23.0, 8.0, 3.0, 1.0, 289.0, 36.0, 13.0, 33.0, 205917.0, 92.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 1.0
30.0, 28.0, 8.0, 4.0, 1.0, 157.0, 27.0, 6.0, 29.0, 205917.0, 92.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 75.0, 185.0, 22.0, 4.0
11.0, 18.0, 8.0, 4.0, 1.0, 289.0, 36.0, 13.0, 33.0, 205917.0, 92.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 8.0
3.0, 23.0, 8.0, 6.0, 1.0, 179.0, 51.0, 18.0, 38.0, 205917.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 2.0
3.0, 18.0, 8.0, 2.0, 1.0, 179.0, 51.0, 18.0, 38.0, 205917.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 8.0
2.0, 18.0, 8.0, 5.0, 1.0, 235.0, 29.0, 12.0, 48.0, 205917.0, 92.0, 0.0, 1.0, 1.0, 0.0, 1.0, 5.0, 88.0, 163.0, 33.0, 8.0
1.0, 23.0, 8.0, 5.0, 1.0, 235.0, 11.0, 14.0, 37.0, 205917.0, 92.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 88.0, 172.0, 29.0, 4.0
