description,title,job
"b""<div><div>Job Requirements:</div><ul><li><p>\nConceptual understanding in Machine Learning models like Nai\xc2\xa8ve Bayes, K-Means, SVM, Apriori, Linear/ Logistic Regression, Neural, Random Forests, Decision Trees, K-NN along with hands-on experience in at least 2 of them</p>\n</li><li><p>Intermediate to expert level coding skills in Python/R. (Ability to write functions, clean and efficient data manipulation are mandatory for this role)</p>\n</li><li><p>Exposure to packages like NumPy, SciPy, Pandas, Matplotlib etc in Python or GGPlot2, dplyr, tidyR in R</p>\n</li><li><p>Ability to communicate Model findings to both Technical and Non-Technical stake holders</p>\n</li><li><p>Hands on experience in SQL/Hive or similar programming language</p>\n</li><li><p>Must show past work via GitHub, Kaggle or any other published article</p>\n</li><li><p>Master's degree in Statistics/Mathematics/Computer Science or any other quant specific field.</p></li></ul><div><div><div><div><div><div>\nApply Now</div></div></div></div></div></div></div><div></div>""",Data scientist ,Data Scientist
"b'<div>Job Description<br/>\n<br/>\n<p>As a Data Scientist 1, you will help us build machine learning models, data pipelines, and micro-services to help our clients navigate their healthcare journey. You will do so by empowering and improving the next generation of Accolade Applications and user experiences.</p><p><b>\nA day in the life\xe2\x80\xa6</b></p><ul><li>\nWork with a small agile team to design and develop mobile applications in an iterative fashion.</li><li>\nWork with a tight-knit group of development team members in Seattle.</li><li>\nContribute to best practices and help guide the future of our applications.</li><li>\nOperates effectively as a collaborative member of the development team.</li><li>\nOperates effectively as an individual for quick turnaround of enhancements and fixes.</li><li>\nResponsible for meeting expectations and deliverables on time with high quality.</li><li>\nDrive and implement new features within our mobile applications.</li><li>\nPerform thorough manual testing and writing test cases that cover all areas.</li><li>\nIdentify new development tools/approaches that will increase code quality, efficiency, and best practices.</li><li>\nDevelop and champion the the development processes, coding style guidelines, and architectural designs necessary to innovate and maintain great product quality.</li><li>\nEffectively turns design documents and graphics into performant, usable UI.</li><li>\nDemonstrates creative, technical, and analytical skills.</li><li>\nDemonstrates ability to communicate effectively in both technical and business environments</li></ul></div>\n<br/>\n<div>Qualifications<br/>\n<br/>\n<p><b>What we are looking for\xe2\x80\xa6</b></p><ul><li>\nMaster\xe2\x80\x99s Degree in Computer Science, Math, or related field.</li><li>\nComputer Science fundamentals, as illustrated through algorithm design, problem solving, and complexity analysis.</li><li>\nMust have 1+ year real-world experience developing and deploying micro-services or data pipelines</li><li>\nMust have a fundamental understanding of key machine learning concepts, such as accuracy measures, cross-validation, and open source machine learning libraries</li><li>\nFluent in Python and SQL</li><li>\nProficient with writing unit/functional tests and familiar with automation frameworks</li><li>\nExperience with cloud infrastructure, such as AWS or Azure, is a plus.</li><li>\nExperience with distributed data pipelines, such as a Spark, is a plus.</li><li>\nStrong written and oral communication skills.</li><li>\nDesire and willingness to work in an Agile, collaborative, innovative, flexible, and team-oriented environment</li><li>\nHands-on, detail-oriented, methodical &amp; inquisitive</li><li>\nA motivated self-starter with a solid level of experience that quickly grasps complex challenges</li><li>\nA skillful communicator with experience working with technical management teams</li><li>\n A service oriented person who thinks ""Customer First""</li><li>\nFast fail entrepreneurial spirit</li><li>\nThrives in a fast-paced environment where continuous improvement is the norm and the bar for quality is extremely high</li><li>\nExcited by the challenges of working in a product team undergoing rapid, international growth</li></ul><br/>\nAdditional Information<br/>\n<br/>\n<p><b>What is important to us</b></p><p>\nCreating an enduring company that is hyper-focused on our culture and making a meaningful impact in the lives of our employees, members and customers. The secret to our success is:</p><p><b>\nWe find joy and purpose in serving others</b></p><p>\nMaking a difference in our members\xe2\x80\x99 and customers\xe2\x80\x99 lives is what we do. Even when it\xe2\x80\x99s hard, we do the right thing for the right reasons.</p><p><b>\nWe are strong individually and together, we\xe2\x80\x99re powerful</b></p><p>\nTrusting in our colleagues and embracing their different backgrounds and experiences enable us to solve tough problems in creative ways, having fun along the way.</p><p><b>\nWe roll up our sleeves and get stuff done</b></p><p>\nResults motivate us. And we aren\'t afraid of the hard work or tough decisions needed to get us there.</p><p><b>\nWe\xe2\x80\x99re boldly and relentlessly reinventing healthcare</b></p><p>\nWe\'re curious and act big - not afraid to knock down barriers or take calculated risks to change the world, one person at a time.</p><p>\nAll your information will be kept confidential according to EEO guidelines.</p></div>'",Data Scientist I,Data Scientist
"b'<div><p>As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.</p><ul><li>\nAbility to do statistical modeling, build predictive models and leverage machine learning algorithms.</li><li>\nThis position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.</li><li>\nPrimary job location is in Sacramento, but work-from-home option is available.</li></ul><br/>\n<h3 class=""jobSectionHeader""><b>\nQualifications</b></h3><ul><li>\nBachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math)</li><li>\nExperience in R and/or Python is preferred</li></ul></div>'",Data Scientist - Entry Level,Data Scientist
"b'<div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-item ""><span class=""icl-u-xs-mr--xs"">$4,969 - $6,756 a month</span></div><div class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Contract</div></div><div>Under the general supervision of Professors Dana Mukamel and Kai Zheng, the incumbent will join the CalMHSA Mental Health Tech Suite Innovation (INN) Evaluation Team. This large, statewide multi-year study will evaluate the effectiveness of two new and innovative applications offered to people with mental health conditions, which include opportunities for online chatting between users and online listeners Responsibilities of the incumbent will include managing and analyzing text data created by users of the two mental health applications as part of the research and evaluation objectives of the team. The incumbent will collaborate with faculty and other team researchers, and will be expected to create under supervision and direction variables describing the usage of the apps, the interactions between users, and the effectiveness of the apps. The incumbent will also be expected to interact with the vendors of the apps around data issues.<br/>\n<br/>\nThe University of California, Irvine is an Equal Opportunity/Affirmative Action Employer advancing inclusive excellence. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or other protected categories covered by the UC nondiscrimination policy.<br/>\n<br/>\nSalary: Monthly $4,968.58 - $6,755.83<br/>\nTotal Hours: 8-5, M-F<br/>\nContract Position.<br/>\nFinal candidate subject to background check.<br/>\nAs a federal contractor, UC Irvine is required to use E-Verify to confirm the work status of individuals assigned to perform substantial work under certain federal contracts/subcontracts.\n<br/>\nPlease attach your resume.</div>'",Data Scientist,Data Scientist
"b'<ul><li>Location: USA \xe2\x80\x93 multiple locations</li>\n<li>2+ years of Analytics experience</li>\n<li>Understand business requirements and technical requirements</li>\n<li>Can handle data extraction, preparation and transformation</li>\n<li>Create and implement data models</li></ul>'",Data Scientist,Data Scientist
"b'<div>Create various Business Intelligence Analytical reports, visualization and dashboards with BI tools like Tableau, Power BI or similar;<br/>\nUtilize experience in scientific data, logic programming and calculated columns, and decision making;<br/>\nDevelop and maintain dashboards for KPIs, purchase trends with time series and customer flows with Tableau and Teradata;<br/>\nDevelop recommendation models utilizing machine learning and predictive analysis with supervised and unsupervised algorithms like random forest, support vector machine and k-means clustering;<br/>\nUtilize experience with SQL with strong concepts of database, data warehouse and metadata;<br/>\nWork closely with frontend web developer and UX designer on improving online shopping experience and deploying business strategies like promotion or similar;<br/>\nAnalyze customer behaviors and purchase trends to create customized recommended items;<br/>\nConduct and apply A/B test to monitor and test new or modified features for online shopping experiences across desktop and mobile platforms;<br/>\nCollect real time data from A/B test and generate feedback reports for presentations and communications to other teams, both technical and non-technical;<br/>\nUtilize clustering models to categorize customers and generate optimized business strategies for different categories;<br/>\nCreate novel computational approaches and analytical tools as required by market and business goals;<br/>\nDesign databases and develop algorithms for processing and analyzing purchase, device information and customer information;<br/>\nAnalyze geographic trends for online shopper sessions with business strategy implications and present on dashboard;<br/>\nConsult with clients to analyze business problem, setup market goals, recommend technology-based solutions, or determine computational strategies;<br/>\nWork with large data access, admin &amp; configuration and application data services;<br/>\nWork with business stakeholders to identify requirements and outcomes, and to frame meaningful business scenarios that impact critical business functions;<br/>\nDesign experiments, test hypothesis, build models to conduct data analysis and design algorithms and utilize appropriate designs to conduct analytics and discover patterns;</div>\n<br/><div><div>Key Skills: </div><div>Python, R, SQL, Tableau, Excel</div></div>'",Data Scientist,Data Scientist
"b'<div><p>As Spotify Premium swells to over 96M subscribers around the globe, we are looking for new ways to continue to grow our subscription business. You would be joining Spotify on the Premium Analytics team, a core business strategy and insights team, as an Associate Data Scientist. In this unique position, your work would be essential in shaping how Spotify is able to grow through data-driven recommendations, new product offerings and innovative marketing efforts. You will see first hand how your work translates into new strategies, products, and consumer experiences as we enter a new phase in Spotify Premium\xe2\x80\x99s life.</p>\n<p>\nYou will work with a global team of world-class analysts, data scientists, business managers, marketers, and engineers. We are all passionate about what we do and move forward with high impact projects at a high pace. Learning and improving is part of our daily routine, and you will be free to develop your own skills and ways of working. At your fingertips you\xe2\x80\x99ll have access to petabytes of data, and will get the opportunity to be creative with how you drive insights and strategies from that. Above all, your work will impact the way the world experiences music.</p>\n<p></p>\n<p>What You\xe2\x80\x99ll Do</p>\n<ul>\n<li>Develop data-driven strategies to drive the growth of Spotify subscribers</li>\n<li>Create and communicate actionable recommendations that improve our product conversion and migration metrics.</li>\n<li>Work with everything from advanced algorithmic data analysis and AB-test setup to business analysis and modeling</li>\n<li>Work closely with business stakeholders to understand the change they are driving and help them discover new opportunities for growth.</li>\n</ul><p>Who Are You</p>\n<ul>\n<li>You are an open-minded, creative person with an interest in analyses and data science</li>\n<li>You have some professional experience working with data analysis (~1 year)</li>\n<li>You are comfortable with the whole analytical process from identifying insight gaps to designing and running initiatives to fill them</li>\n<li>You have worked hands-on synthesizing insights from data using tools such as Python, R, SQL, SAS, SPSS, Minitab and/or Hadoop</li>\n<li>You are a communicative person that values building strong relationships with colleagues and partners, you are experienced in presenting insights and recommendations to partners or clients</li></ul></div><p></p>'",Associate Data Scientist – Premium Analytics,Data Scientist
"b""Everytown for Gun Safety, the nation's largest gun violence prevention advocacy group, is seeking a Data Scientist. The Research Department studies how gun violence occurs in America and identifies the best policies and interventions to prevent and address it. In this role, the Data Scientist will need to understand and communicate about the various types of gun violence, who it impacts, and how it impacts different communities and populations differently. You must be committed to addressing gun violence in diverse communities around the country.\n<br/><br/>\nThe Data Scientist will be the policy data lead for the organization, responsible for advanced data management, analysis, and visualization. The Data Scientist reports to the Principal Researcher.\n<br/><br/>\n<b>We'll trust you to take on the following responsibilities:</b><br/>\n<ul>\n<li>Serve as the lead data analyst on the team, responsible for the accuracy and appropriate use of all calculations and findings</li>\n<li>Conduct original analysis and identify new avenues for statistical analysis on gun violence prevention, policies, and interventions to support Everytown for Gun Safety advocacy and research products and campaigns</li>\n<li>Analyze large datasets using various software packages (R, STATA, SPSS, SQL, Python, and/or others)</li>\n<li>Oversee staff to obtain, organize, and update datasets of frequent reference (e.g., CDC fatal and nonfatal injury data; FBI Supplementary Homicide Report data; FBI background check data; and other federal-, state-, and city-level data related to gun violence prevention)</li>\n<li>Optimize and ensure integrity of all databases managed across the organization</li>\n<li>Lead efforts to identify new datasets and opportunities for original analysis, as well as their application across Departments</li>\n<li>Direct and implement data visualization efforts and review all products from a data perspective</li>\n<li>Serve as the subject matter expert on economic analysis of gun violence</li>\n<li>Serve as a mentor to the team and identify training and development opportunities</li>\n<li>Contribute to the publication of analytical reports, compelling advocacy materials, and other research-based products to support Everytown's legislative and outreach/advocacy goals</li>\n<li>Clearly translate the implications of research findings (from Everytown original research and the work of scholars in the field) so that practitioners and policymakers can implement new laws effectively and enforce existing policies</li>\n</ul>\n<b>The ideal candidate will have:</b><br/>\n<ul>\n<li>Advanced degree in a quantitative field or equivalent professional experience</li>\n<li>5+ years applied experience in research, policy, and/or economics; economics experience preferred</li>\n<li>Fluency with multiple research methods, both quantitative and qualitative, such as multivariate statistics, cluster analysis, survey research, regression analysis, classification modelling, hypothesis testing, and/or composite index creation</li>\n<li>Experience working with large datasets using at least one software package (R, STATA, SPSS, SQL, Python, and/or others)</li>\n<li>Significant data management and data visualization experience</li>\n<li>Familiarity with government-generated data and information sources (city, state, and federal), e.g. U.S. Census data, preferred</li>\n<li>Demonstrated ability to effectively communicate research findings to a broad range of audiences</li>\n<li>The ability to work in a dynamic and fast paced environment with an open floor plan</li>\n</ul>\nReasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.\n<br/><br/>\nEverytown for Gun Safety provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws.\n<br/><br/>\nCandidates who identify as members of historically underrepresented groups are highly encouraged to apply. A diverse workforce and open culture are at the heart of our organization and vital to our success.""",Data Scientist,Data Scientist
"b""<ul><li>MS in a quantitative discipline such as Statistics, Mathematics, Physics, Engineering, Computer Science or Economics</li><li>5+ years work experience</li><li>Proficiency in at least one statistical software package such as Python, R or Matlab</li><li>Expertise using SQL for acquiring and transforming data</li><li>Outstanding quantitative modeling and statistical analysis skills</li><li>Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiences</li></ul>\n<br/>\n<div>Where will Amazon's growth come from in the next year? What about over the next five? Which product lines are poised to quintuple in size? Are we investing enough in our infrastructure, or too much? How do our customers react to changes in prices, product selection, or delivery times?<br/>\nThese are among the most important questions at Amazon today. The Topline Forecast team in the Supply Chain Optimization Technologies (SCOT) organization is dedicated to answering these questions using statistical methods. We develop cutting edge data pipelines, build accurate predictive models, and deploy automated software solutions to provide forecasting insights to business leaders at the most senior levels throughout the company. We are looking for a talented, driven, and analytical researcher to help us answer these (and many more) questions.<br/>\nThis Data Scientist role will design quantitative systems and forecasting models that generate multi-billion dollar predictions of the highest level of visibility and importance for Amazon's financial and operational planning. A successful candidate will be a problem solver who enjoys diving into data, is excited by difficult modeling challenges, and possesses strong communication skills to effectively interface between technical and business teams.<br/>\nAs a Data Scientist on the Topline team, you will collaborate directly with economists and statisticians to produce modeling solutions, you will partner with software developers and data engineers to build end-to-end data pipelines and production code, and you will have exposure to senior leadership as we communicate results and provide scientific guidance to the business.<br/>\nKey Responsibilities<br/>\n<ul><li>Implement statistical and machine learning methods to solve specific business problems</li><li>Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters</li><li>Directly contribute to the design and development of automated forecasting systems</li><li>Build customer-facing reporting tools to provide insights and metrics which track forecast performance and explain variance</li><li>Collaborate with researchers, software developers, and business leaders to define product requirements, provide analytical support, and communicate feedback</li></ul>\nAmazon is an Equal Opportunity Employer \xe2\x80\x93 Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.</div>\n<br/>\n<ul><li>Experience building complex data visualizations</li><li>Experience working in command-line Linux environments</li><li>Experience with object-oriented programming languages</li><li>Experience with causal inference, applied time series modeling or machine learning forecasting applications</li><li>Strong project management skills</li></ul>""",Sr. Data Scientist,Data Scientist
"b'<div><p>Slack is hiring experienced data scientists to join our Lifecycle team. The Lifecycle team\xe2\x80\x99s mission is to build product experiences that help companies of all sizes adopt and scale Slack within their organization. These product experiences include team and user onboarding, payments and billing systems, and the marketing and packaging of paid plans.</p>\n<p>\nYou will use data to help the team discover opportunities and define appropriate solutions to user problems by performing research into user behavior, defining and applying experimentation standards, and understanding the drivers of business performance.</p>\n<p>\nSlack has a positive, diverse, and supportive culture\xe2\x80\x94we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?</p>\n<p><b>\nWhat you will be doing</b></p>\n<ul>\n<li>Use data to influence the direction of team roadmaps and inform business decisions</li>\n<li>Deepen our understanding of our product, our users, and our business through data and the use of the scientific method</li>\n<li>Work with partner teams to define goals and identify metrics that describe our product through data</li>\n<li>Be an ambassador for data by improving the availability, understanding, and sophistication with data at Slack</li>\n</ul><p><b>What you should have</b></p>\n<ul>\n<li>6+ years of professional industry experience doing quantitative analysis</li>\n<li>A consistent record of using analysis to impact key business or product decisions</li>\n<li>The ability to clearly and effectively communicate the results of complex analyses</li>\n<li>Understanding of standard data science methodologies</li>\n<li>Deep understanding of statistics</li>\n<li>Ability to write clean code, especially in R or Python</li><br/>\n</ul>\n<p>\n</p><p>Slack is an Equal Opportunity Employer and participant in the U.S. Federal E-Verify program. Women, minorities, individuals with disabilities and protected veterans are encouraged to apply. Slack will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance.</p><br/>\n<p></p><p>\nSlack is a layer of the business technology stack that brings together people, data, and applications \xe2\x80\x93 a single place where people can effectively work together, find important information, and access hundreds of thousands of critical applications and services to do their best work. From global Fortune 100 companies to corner markets, businesses and teams of all kinds use Slack to bring the right people together with all the right information. Slack is headquartered in San Francisco, CA and has ten offices around the world. For more information on how Slack makes teams better connected, visit slack.com.</p><p>\nEnsuring a diverse and inclusive workplace where we learn from each other is core to Slack\xe2\x80\x99s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.</p><p>\nCome do the best work of your life here at Slack.</p></div>'","Data Scientist, Lifecyle",Data Scientist
