state,id,STATE FARM GRP,BERKSHIRE HATHAWAY GRP,STATE TOTAL
Alabama,1,768213,282947,3025561
Alaska,2,128613,81366,454623
Arizona,4,760003,604049,4373055
Arkansas,5,454931,96908,1777917
California,6,3655463,2091720,25255501
Colorado,8,827143,365797,4057463
Connecticut,9,169773,486498,2795415
Delaware,10,191319,129033,802005
District of Columbia,11,67231,115149,325239
Florida,12,2806322,3952147,17333354
Georgia,13,1761224,821326,7571988
Hawaii,15,133498,184743,722550
Idaho,16,130613,87222,863636
Illinois,17,2256543,412978,7028885
Indiana,18,861382,201200,3506499
Iowa,19,368898,58105,1650388
Kansas,20,351343,76533,1725608
Kentucky,21,680433,186915,2805864
Louisiana,22,1415980,369492,4136224
Maine,23,101111,68109,699558
Maryland,24,883401,1059508,4554586
Massachusetts,25,0,473913,4924736
Michigan,26,1580398,0,8462142
Minnesota,27,851940,108942,3412460
Mississippi,28,467887,100827,1760180
Missouri,29,883774,214191,3606590
Montana,30,156816,33538,668513
Nebraska,31,273727,61046,1167135
Nevada,32,404688,262815,2129828
New Hampshire,33,103340,103403,806545
New Jersey,34,619623,1441019,7375823
New Mexico,35,261922,174865,1284430
New York,36,1666653,3926684,12633982
North Carolina,37,842368,560700,5543700
North Dakota,38,67282,15516,454376
Ohio,39,1240075,405652,6303148
Oklahoma,40,636063,151388,2515842
Oregon,41,564416,223187,2647434
Pennsylvania,42,1654528,602848,8270326
Rhode Island,44,0,97597,867558
South Carolina,45,874436,426033,3583918
South Dakota,46,101912,15682,508569
Tennessee,47,889329,292357,3769652
Texas,48,3395165,2127633,19180816
Utah,49,300403,139315,1723931
Vermont,50,30003,52939,359996
Virginia,51,878312,884489,5105360
Washington,53,794882,478922,4780616
West Virginia,54,323608,110806,1209872
Wisconsin,55,443680,131845,2950711
Wyoming,56,90412,30187,374169
Puerto Rico,72,0,0,444480
